n = 11, k = 10, d = 2, CR = 0.9090909090909091, H_in_req = 0.998814, efficiency = 0.91007997 
n = 10, k = 9, d = 2, CR = 0.9, H_in_req = 0.998323, efficiency = 0.90141251 
n = 9, k = 8, d = 2, CR = 0.8888888888888888, H_in_req = 0.997628, efficiency = 0.89089132 
n = 8, k = 7, d = 2, CR = 0.875, H_in_req = 0.996647, efficiency = 0.87781913 
n = 7, k = 6, d = 2, CR = 0.8571428571428571, H_in_req = 0.99526, efficiency = 0.86108229 
n = 6, k = 5, d = 2, CR = 0.8333333333333334, H_in_req = 0.9933, efficiency = 0.83878659 
n = 5, k = 4, d = 2, CR = 0.8, H_in_req = 0.990534, efficiency = 0.80744344 
n = 24, k = 18, d = 4, CR = 0.75, H_in_req = 0.989691, efficiency = 0.75777045 
n = 4, k = 3, d = 2, CR = 0.75, H_in_req = 0.986631, efficiency = 0.75990934 
n = 22, k = 16, d = 4, CR = 0.7272727272727273, H_in_req = 0.985442, efficiency = 0.73797074 
n = 21, k = 15, d = 4, CR = 0.7142857142857143, H_in_req = 0.982704, efficiency = 0.72680911 
n = 20, k = 14, d = 4, CR = 0.7, H_in_req = 0.979455, efficiency = 0.71463251 
n = 16, k = 11, d = 4, CR = 0.6875, H_in_req = 0.965613, efficiency = 0.71191856 
n = 15, k = 10, d = 4, CR = 0.6666666666666666, H_in_req = 0.959198, efficiency = 0.69495600 
n = 31, k = 20, d = 6, CR = 0.6451612903225806, H_in_req = 0.958034, efficiency = 0.67338898 
n = 14, k = 9, d = 4, CR = 0.6428571428571429, H_in_req = 0.951606, efficiency = 0.67547503 
n = 45, k = 28, d = 8, CR = 0.6222222222222222, H_in_req = 0.949526, efficiency = 0.65527468 
n = 29, k = 18, d = 6, CR = 0.6206896551724138, H_in_req = 0.947323, efficiency = 0.65516798 
n = 13, k = 8, d = 4, CR = 0.6153846153846154, H_in_req = 0.942629, efficiency = 0.65275722 
n = 28, k = 17, d = 6, CR = 0.6071428571428571, H_in_req = 0.941002, efficiency = 0.64517136 
n = 43, k = 26, d = 8, CR = 0.6046511627906976, H_in_req = 0.940171, efficiency = 0.64310428 
n = 42, k = 25, d = 8, CR = 0.5952380952380952, H_in_req = 0.934877, efficiency = 0.63667703 
n = 27, k = 16, d = 6, CR = 0.5925925925925926, H_in_req = 0.93394, efficiency = 0.63446899 
n = 70, k = 41, d = 12, CR = 0.5857142857142857, H_in_req = 0.928132, efficiency = 0.63105311 
n = 24, k = 14, d = 6, CR = 0.5833333333333334, H_in_req = 0.917253, efficiency = 0.63591153 
n = 38, k = 22, d = 8, CR = 0.5789473684210527, H_in_req = 0.916098, efficiency = 0.63194254 
n = 37, k = 21, d = 8, CR = 0.5675675675675675, H_in_req = 0.90874, efficiency = 0.62453622 
n = 23, k = 13, d = 6, CR = 0.5652173913043478, H_in_req = 0.907439, efficiency = 0.62282368 
n = 64, k = 36, d = 12, CR = 0.5625, H_in_req = 0.904846, efficiency = 0.62163616 
n = 36, k = 20, d = 8, CR = 0.5555555555555556, H_in_req = 0.900758, efficiency = 0.61673411 
n = 63, k = 35, d = 12, CR = 0.5555555555555556, H_in_req = 0.89938, efficiency = 0.61769202 
n = 62, k = 34, d = 12, CR = 0.5483870967741935, H_in_req = 0.893612, efficiency = 0.61365670 
n = 35, k = 19, d = 8, CR = 0.5428571428571428, H_in_req = 0.892104, efficiency = 0.60848188 
n = 61, k = 33, d = 12, CR = 0.5409836065573771, H_in_req = 0.887527, efficiency = 0.60952248 
