n = 255, k = 36, d = 92, CR = 0.14117647, H_in_req = 0.23066865, efficiency = 0.61201447 
n = 511, k = 67, d = 175, CR = 0.13111546, H_in_req = 0.20448775, efficiency = 0.64118024 
n = 255, k = 32, d = 96, CR = 0.12549020, H_in_req = 0.20441282, efficiency = 0.61388655 
n = 255, k = 29, d = 95, CR = 0.11372549, H_in_req = 0.19294048, efficiency = 0.58941272 
n = 511, k = 58, d = 183, CR = 0.11350294, H_in_req = 0.17503833, efficiency = 0.64843500 
n = 255, k = 26, d = 98, CR = 0.10196078, H_in_req = 0.17421225, efficiency = 0.58524511 
n = 241, k = 24, d = 94, CR = 0.09958506, H_in_req = 0.17184307, efficiency = 0.57948752 
n = 255, k = 25, d = 100, CR = 0.09803922, H_in_req = 0.16658210, efficiency = 0.58851038 
n = 511, k = 49, d = 187, CR = 0.09589041, H_in_req = 0.15032273, efficiency = 0.63788397 
n = 255, k = 21, d = 111, CR = 0.08235294, H_in_req = 0.13490127, efficiency = 0.61043919 
n = 255, k = 20, d = 112, CR = 0.07843137, H_in_req = 0.12972079, efficiency = 0.60458662 
n = 511, k = 40, d = 191, CR = 0.07827789, H_in_req = 0.12613635, efficiency = 0.62056603 
n = 511, k = 31, d = 219, CR = 0.06066536, H_in_req = 0.09162709, efficiency = 0.66206845 
n = 511, k = 28, d = 223, CR = 0.05479452, H_in_req = 0.08372933, efficiency = 0.65440110 
n = 511, k = 19, d = 239, CR = 0.03718200, H_in_req = 0.06038394, efficiency = 0.61572728 
n = 511, k = 10, d = 255, CR = 0.01956947, H_in_req = 0.03962485, efficiency = 0.49381936 
n = 144, k = 1, d = 144, CR = 0.00694444, H_in_req = 0.03935795, efficiency = 0.17626682 
n = 145, k = 1, d = 145, CR = 0.00689655, H_in_req = 0.03909030, efficiency = 0.17624978 
n = 146, k = 1, d = 146, CR = 0.00684932, H_in_req = 0.03882626, efficiency = 0.17623297 
n = 147, k = 1, d = 147, CR = 0.00680272, H_in_req = 0.03856576, efficiency = 0.17621640 
n = 148, k = 1, d = 148, CR = 0.00675676, H_in_req = 0.03830873, efficiency = 0.17620005 
n = 149, k = 1, d = 149, CR = 0.00671141, H_in_req = 0.03805511, efficiency = 0.17618393 
n = 150, k = 1, d = 150, CR = 0.00666667, H_in_req = 0.03780482, efficiency = 0.17616802 
n = 151, k = 1, d = 151, CR = 0.00662252, H_in_req = 0.03755781, efficiency = 0.17615233 
n = 152, k = 1, d = 152, CR = 0.00657895, H_in_req = 0.03731399, efficiency = 0.17613684 
n = 153, k = 1, d = 153, CR = 0.00653595, H_in_req = 0.03707333, efficiency = 0.17612157 
n = 154, k = 1, d = 154, CR = 0.00649351, H_in_req = 0.03683575, efficiency = 0.17610649 
n = 155, k = 1, d = 155, CR = 0.00645161, H_in_req = 0.03660119, efficiency = 0.17609161 
n = 156, k = 1, d = 156, CR = 0.00641026, H_in_req = 0.03636960, efficiency = 0.17607692 
n = 157, k = 1, d = 157, CR = 0.00636943, H_in_req = 0.03614092, efficiency = 0.17606242 
n = 158, k = 1, d = 158, CR = 0.00632911, H_in_req = 0.03591510, efficiency = 0.17604811 
n = 159, k = 1, d = 159, CR = 0.00628931, H_in_req = 0.03569209, efficiency = 0.17603398 
n = 160, k = 1, d = 160, CR = 0.00625000, H_in_req = 0.03547182, efficiency = 0.17602003 
n = 161, k = 1, d = 161, CR = 0.00621118, H_in_req = 0.03525426, efficiency = 0.17600625 
n = 162, k = 1, d = 162, CR = 0.00617284, H_in_req = 0.03503935, efficiency = 0.17599265 
n = 163, k = 1, d = 163, CR = 0.00613497, H_in_req = 0.03482704, efficiency = 0.17597921 
n = 164, k = 1, d = 164, CR = 0.00609756, H_in_req = 0.03461729, efficiency = 0.17596594 
n = 165, k = 1, d = 165, CR = 0.00606061, H_in_req = 0.03441005, efficiency = 0.17595283 
n = 166, k = 1, d = 166, CR = 0.00602410, H_in_req = 0.03420528, efficiency = 0.17593989 
n = 167, k = 1, d = 167, CR = 0.00598802, H_in_req = 0.03400293, efficiency = 0.17592710 
n = 168, k = 1, d = 168, CR = 0.00595238, H_in_req = 0.03380296, efficiency = 0.17591446 
n = 169, k = 1, d = 169, CR = 0.00591716, H_in_req = 0.03360533, efficiency = 0.17590198 
n = 170, k = 1, d = 170, CR = 0.00588235, H_in_req = 0.03340999, efficiency = 0.17588964 
n = 171, k = 1, d = 171, CR = 0.00584795, H_in_req = 0.03321691, efficiency = 0.17587745 
n = 172, k = 1, d = 172, CR = 0.00581395, H_in_req = 0.03302605, efficiency = 0.17586541 
n = 173, k = 1, d = 173, CR = 0.00578035, H_in_req = 0.03283738, efficiency = 0.17585350 
n = 174, k = 1, d = 174, CR = 0.00574713, H_in_req = 0.03265084, efficiency = 0.17584173 
n = 175, k = 1, d = 175, CR = 0.00571429, H_in_req = 0.03246641, efficiency = 0.17583010 
n = 176, k = 1, d = 176, CR = 0.00568182, H_in_req = 0.03228405, efficiency = 0.17581860 
n = 177, k = 1, d = 177, CR = 0.00564972, H_in_req = 0.03210373, efficiency = 0.17580724 
n = 178, k = 1, d = 178, CR = 0.00561798, H_in_req = 0.03192542, efficiency = 0.17579600 
n = 179, k = 1, d = 179, CR = 0.00558659, H_in_req = 0.03174907, efficiency = 0.17578489 
n = 180, k = 1, d = 180, CR = 0.00555556, H_in_req = 0.03157466, efficiency = 0.17577390 
n = 181, k = 1, d = 181, CR = 0.00552486, H_in_req = 0.03140215, efficiency = 0.17576304 
n = 182, k = 1, d = 182, CR = 0.00549451, H_in_req = 0.03123152, efficiency = 0.17575230 
n = 183, k = 1, d = 183, CR = 0.00546448, H_in_req = 0.03106274, efficiency = 0.17574168 
n = 184, k = 1, d = 184, CR = 0.00543478, H_in_req = 0.03089576, efficiency = 0.17573117 
n = 185, k = 1, d = 185, CR = 0.00540541, H_in_req = 0.03073058, efficiency = 0.17572078 
n = 186, k = 1, d = 186, CR = 0.00537634, H_in_req = 0.03056715, efficiency = 0.17571050 
n = 187, k = 1, d = 187, CR = 0.00534759, H_in_req = 0.03040545, efficiency = 0.17570033 
n = 188, k = 1, d = 188, CR = 0.00531915, H_in_req = 0.03024545, efficiency = 0.17569027 
n = 189, k = 1, d = 189, CR = 0.00529101, H_in_req = 0.03008712, efficiency = 0.17568032 
n = 190, k = 1, d = 190, CR = 0.00526316, H_in_req = 0.02993045, efficiency = 0.17567047 
n = 191, k = 1, d = 191, CR = 0.00523560, H_in_req = 0.02977539, efficiency = 0.17566073 
n = 192, k = 1, d = 192, CR = 0.00520833, H_in_req = 0.02962194, efficiency = 0.17565109 
n = 193, k = 1, d = 193, CR = 0.00518135, H_in_req = 0.02947006, efficiency = 0.17564156 
n = 194, k = 1, d = 194, CR = 0.00515464, H_in_req = 0.02931972, efficiency = 0.17563212 
n = 195, k = 1, d = 195, CR = 0.00512821, H_in_req = 0.02917092, efficiency = 0.17562278 
n = 196, k = 1, d = 196, CR = 0.00510204, H_in_req = 0.02902362, efficiency = 0.17561353 
n = 197, k = 1, d = 197, CR = 0.00507614, H_in_req = 0.02887779, efficiency = 0.17560438 
n = 198, k = 1, d = 198, CR = 0.00505051, H_in_req = 0.02873343, efficiency = 0.17559533 
n = 199, k = 1, d = 199, CR = 0.00502513, H_in_req = 0.02859050, efficiency = 0.17558636 
n = 200, k = 1, d = 200, CR = 0.00500000, H_in_req = 0.02844898, efficiency = 0.17557749 
n = 201, k = 1, d = 201, CR = 0.00497512, H_in_req = 0.02830886, efficiency = 0.17556871 
n = 202, k = 1, d = 202, CR = 0.00495050, H_in_req = 0.02817011, efficiency = 0.17556001 
n = 203, k = 1, d = 203, CR = 0.00492611, H_in_req = 0.02803272, efficiency = 0.17555140 
n = 204, k = 1, d = 204, CR = 0.00490196, H_in_req = 0.02789666, efficiency = 0.17554287 
n = 205, k = 1, d = 205, CR = 0.00487805, H_in_req = 0.02776191, efficiency = 0.17553443 
n = 206, k = 1, d = 206, CR = 0.00485437, H_in_req = 0.02762846, efficiency = 0.17552607 
n = 207, k = 1, d = 207, CR = 0.00483092, H_in_req = 0.02749629, efficiency = 0.17551780 
n = 208, k = 1, d = 208, CR = 0.00480769, H_in_req = 0.02736537, efficiency = 0.17550960 
n = 209, k = 1, d = 209, CR = 0.00478469, H_in_req = 0.02723570, efficiency = 0.17550148 
n = 210, k = 1, d = 210, CR = 0.00476190, H_in_req = 0.02710724, efficiency = 0.17549344 
n = 211, k = 1, d = 211, CR = 0.00473934, H_in_req = 0.02698000, efficiency = 0.17548548 
n = 212, k = 1, d = 212, CR = 0.00471698, H_in_req = 0.02685394, efficiency = 0.17547760 
n = 213, k = 1, d = 213, CR = 0.00469484, H_in_req = 0.02672906, efficiency = 0.17546978 
n = 214, k = 1, d = 214, CR = 0.00467290, H_in_req = 0.02660533, efficiency = 0.17546205 
