n = 26, k = 1, d = 26, CR = 0.038461538461538464, H_in_req = 0.18774, efficiency = 0.20466128, area = 8.67 GEs 
n = 26, k = 25, d = 2, CR = 0.9615384615384616, H_in_req = 0.997895, efficiency = 0.96352883, area = 182.09 GEs 
n = 27, k = 1, d = 27, CR = 0.037037037037037035, H_in_req = 0.181286, efficiency = 0.20409809, area = 8.67 GEs 
n = 27, k = 26, d = 2, CR = 0.9629629629629629, H_in_req = 0.997974, efficiency = 0.96488097, area = 188.76 GEs 
n = 28, k = 1, d = 28, CR = 0.03571428571428571, H_in_req = 0.175258, efficiency = 0.20357779, area = 8.67 GEs 
n = 28, k = 27, d = 2, CR = 0.9642857142857143, H_in_req = 0.998048, efficiency = 0.96613641, area = 195.43 GEs 
n = 29, k = 1, d = 29, CR = 0.034482758620689655, H_in_req = 0.169617, efficiency = 0.20309541, area = 8.67 GEs 
n = 29, k = 28, d = 2, CR = 0.9655172413793104, H_in_req = 0.998116, efficiency = 0.96730520, area = 202.10 GEs 
n = 30, k = 1, d = 30, CR = 0.03333333333333333, H_in_req = 0.164326, efficiency = 0.20264690, area = 8.67 GEs 
n = 30, k = 29, d = 2, CR = 0.9666666666666667, H_in_req = 0.99818, efficiency = 0.96839601, area = 208.77 GEs 
n = 31, k = 1, d = 31, CR = 0.03225806451612903, H_in_req = 0.159353, efficiency = 0.20222933, area = 8.67 GEs 
n = 31, k = 10, d = 12, CR = 0.3225806451612903, H_in_req = 0.580406, efficiency = 0.55572963, area = 74.70 GEs 
n = 31, k = 11, d = 11, CR = 0.3548387096774194, H_in_req = 0.612093, efficiency = 0.57966150, area = 83.37 GEs 
n = 31, k = 30, d = 2, CR = 0.967741935483871, H_in_req = 0.99824, efficiency = 0.96941638, area = 215.44 GEs 
n = 32, k = 1, d = 32, CR = 0.03125, H_in_req = 0.154672, efficiency = 0.20183884, area = 8.67 GEs 
n = 32, k = 31, d = 2, CR = 0.96875, H_in_req = 0.998296, efficiency = 0.97037292, area = 222.11 GEs 
n = 33, k = 1, d = 33, CR = 0.030303030303030304, H_in_req = 0.150257, efficiency = 0.20147317, area = 8.67 GEs 
n = 33, k = 32, d = 2, CR = 0.9696969696969697, H_in_req = 0.998348, efficiency = 0.97127144, area = 228.78 GEs 
n = 34, k = 1, d = 34, CR = 0.029411764705882353, H_in_req = 0.146087, efficiency = 0.20113022, area = 8.67 GEs 
n = 34, k = 33, d = 2, CR = 0.9705882352941176, H_in_req = 0.998398, efficiency = 0.97211706, area = 235.45 GEs 
n = 35, k = 1, d = 35, CR = 0.02857142857142857, H_in_req = 0.142141, efficiency = 0.20080785, area = 8.67 GEs 
n = 35, k = 34, d = 2, CR = 0.9714285714285714, H_in_req = 0.998444, efficiency = 0.97291433, area = 242.12 GEs 
n = 36, k = 1, d = 36, CR = 0.027777777777777776, H_in_req = 0.138402, efficiency = 0.20050429, area = 8.67 GEs 
n = 36, k = 35, d = 2, CR = 0.9722222222222222, H_in_req = 0.998488, efficiency = 0.97366727, area = 248.79 GEs 
n = 37, k = 1, d = 37, CR = 0.02702702702702703, H_in_req = 0.134854, efficiency = 0.20021783, area = 8.67 GEs 
n = 37, k = 36, d = 2, CR = 0.972972972972973, H_in_req = 0.998529, efficiency = 0.97437947, area = 255.46 GEs 
